Code,Common_name,Latin_name
AMRE,American Redstart,Setophaga ruticilla
BAWW,Black-and-white Warbler,Mniotilta varia
BBWA,Bay-breasted Warbler,Setophaga castanea
BCCH,Black-capped Chickadee,Poecile atricapillus
BHVI,Blue-headed Vireo,Vireo solitarius
BLBW,Blackburnian Warbler,Setophaga fusca
BLJA,Blue Jay,Cyanocitta cristata
BLPW,Blackpoll Warbler,Setophaga striata
BOCH,Boreal Chickadee,Poecile hudsonicus
BRCR,Brown Creeper,Certhia americana
BTNW,Black-throated Green Warbler,Setophaga virens
CAWA,Canada Warbler,Cardellina canadensis
CEDW,Cedar Waxwing,Bombycilla cedrorum
CMWA,Cape May Warbler,Setophaga tigrina
CONW,Connecticut Warbler,Oporornis agilis
CORA,Common Raven,Corvus corax
DEJU,Dark-eyed Junco,Junco hyemalis
EVGR,Evening Grosbeak,Coccothraustes vespertinus
FOSP,Fox Sparrow,Passerella iliaca
GCKI,Golden-crowned Kinglet,Regulus satrapa
GCTH,Gray-cheeked Thrush,Catharus minimus
GRAJ,Gray Jay,Perisoreus canadensis
HETH,Hermit Thrush,Catharus guttatus
LEFL,Least Flycatcher,Empidonax minimus
MAWA,Magnolia Warbler,Setophaga magnolia
MOWA,Mourning Warbler,Geothlypis philadelphia
NAWA,Nashville Warbler,Oreothlypis ruficapilla
NOWA,Northern Waterthrush,Parkesia noveboracensis
OCWA,Orange-crowned Warbler,Oreothlypis celata
OSFL,Olive-sided Flycatcher,Contopus cooperi
OVEN,Ovenbird,Seiurus aurocapilla
PAWA,Palm Warbler,Setophaga palmarum
PHVI,Philadelphia Vireo,Vireo philadelphicus
PIGR,Pine Grosbeak,Pinicola enucleator
PISI,Pine Siskin,Spinus pinus
PUFI,Purple Finch,Carpodacus purpureus
RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus
RBNU,Red-breasted Nuthatch,Sitta canadensis
RCKI,Ruby-crowned Kinglet,Regulus calendula
REVI,Red-eyed Vireo,Vireo olivaceus
RUBL,Rusty Blackbird,Euphagus carolinus
SWTH,Swainson's Thrush,Catharus ustulatus
TEWA,Tennessee Warbler,Oreothlypis peregrina
VATH,Varied Thrush,Ixoreus naevius
WETA,Western Tanager,Piranga ludoviciana
WEWP,Western Wood-Pewee,Loxia leucoptera
WIWA,Wilson's Warbler,Contopus sordidulus
WIWR,Winter Wren,Cardellina pusilla
WTSP,White-throated Sparrow,Troglodytes hiemalis
WWCR,White-winged Crossbill,Zonotrichia albicollis
YEWA,Yellow Warbler,Setophaga petechia
YRWA,Yellow-rumped Warbler,Setophaga coronata
